Year,Passengers (mils)
1929,
1930,
1931,
1932,
1933,
1934,
1935,
1936,
1937,
1938,
1939,
1940,
1941,
1942,
1943,
1944,
1945,9
1946,18
1947,21
1948,24
1949,27
1950,31
1951,42
1952,46
1953,53
1954,59
1955,68
1956,77
1957,86
1958,88
1959,98
1960,106
1961,111
1962,121
1963,135
1964,155
1965,177
1966,200
1967,233
1968,260.277
1969,293.23
1970,382.954
1971,410.919
1972,450.136
1973,488.514
1974,514.496
1975,534.024
1976,576.421
1977,610.322
1978,678.645
1979,754.117
1980,748.288
1981,752.271
1982,765.806
1983,797.81
1984,847.931
1985,899.218
1986,960.012
1987,1027.856
1988,1082.474
1989,1109.478
1990,1165.156
1991,1135.185
1992,1145.553
1993,1142.382
1994,1233.341
1995,1303.645
1996,1391.085
1997,1456.69
1998,1471.47
1999,1562.324
2000,1774.388417916
2001,1740.675037975
2002,1738.934362937
2003,1794.580262551
2004,2002.751573007
2005,2144.946934691
2006,2263.250105760
2007,2461.986320262
2008,2500.044331773
2009,2488
2010,2707
2011,2883
2012,3013
2013,3148
2014,3327
2015,3567
2016,3806
2017,4075
2018,4341
2019,4490
2020,1782
2021,2284